STEPS,CC,CD,DC,DD
1164,293,1187,45,103
1165,304,1167,43,107
1166,300,1156,44,101
1167,302,1154,49,101
1168,294,1147,51,108
1169,298,1130,51,109
1170,306,1131,53,105
1171,310,1129,52,103
1172,306,1141,50,100
1173,298,1135,53,104
1174,291,1164,53,108
1175,287,1159,52,105
1176,286,1156,55,102
1177,285,1177,60,100
1178,282,1179,60,103
1179,288,1191,63,104
1180,294,1192,60,98
1181,300,1182,61,101
1182,300,1177,60,111
1183,307,1153,60,106
1184,314,1161,62,102
1185,320,1126,60,105
1186,323,1131,58,103
1187,335,1114,63,107
1188,324,1110,67,110
1189,324,1118,67,117
1190,328,1109,68,112
1191,332,1097,68,119
1192,338,1087,66,124
1193,330,1074,64,122
1194,327,1078,59,118
1195,327,1086,63,126
1196,316,1073,65,119
1197,320,1061,66,114
1198,317,1091,70,115
1199,317,1090,64,115
1200,329,1094,69,113
1201,323,1138,67,112
1202,319,1109,65,117
1203,318,1114,70,115
1204,316,1110,69,121
1205,314,1120,72,125
1206,319,1085,74,133
1207,320,1083,73,140
1208,328,1085,68,144
1209,334,1090,69,136
1210,333,1090,67,132
1211,342,1078,68,129
1212,343,1074,64,123
1213,349,1096,66,123
1214,347,1109,66,128
1215,353,1075,71,136
1216,365,1075,68,139
1217,360,1077,70,140
1218,360,1068,68,127
1219,360,1077,72,130
1220,352,1093,74,131
1221,352,1106,80,133
1222,351,1096,76,135
1223,354,1104,73,128
1224,350,1099,73,127
1225,338,1092,66,131
1226,344,1079,64,126
1227,349,1091,69,122
1228,356,1077,77,123
1229,348,1094,81,123
1230,337,1075,74,121
1231,335,1077,75,121
1232,337,1081,82,119
1233,349,1095,84,122
1234,343,1099,79,118
1235,340,1098,81,129
1236,332,1077,79,123
1237,332,1090,80,128
1238,341,1097,83,128
1239,342,1113,88,124
1240,337,1098,81,122
1241,348,1128,75,122
1242,336,1118,81,123
1243,349,1126,81,121
1244,350,1122,79,127
1245,344,1119,79,122
1246,347,1128,86,118
1247,350,1132,79,125
1248,346,1119,80,125
1249,348,1121,80,125
1250,358,1132,84,123
1251,361,1128,79,131
1252,359,1122,82,131
1253,353,1108,78,130
1254,353,1121,87,132
1255,341,1117,84,135
1256,350,1138,81,136
1257,353,1137,78,140
1258,347,1155,79,135
1259,343,1143,87,136
1260,335,1130,81,145
1261,333,1130,88,141
1262,335,1120,88,133
1263,333,1119,87,135
1264,329,1128,85,135
1265,340,1133,82,134
1266,331,1123,78,128
1267,321,1132,71,122
1268,321,1127,68,120
1269,313,1137,70,125
1270,310,1125,73,125
1271,303,1142,73,119
1272,307,1146,78,111
1273,304,1152,77,109
1274,306,1180,77,106
1275,299,1188,78,100
1276,291,1181,77,105
1277,287,1198,73,105
1278,274,1163,69,106
1279,277,1168,72,99
1280,281,1161,72,110
1281,272,1156,71,111
1282,270,1166,72,112
1283,279,1209,65,112
1284,261,1189,70,114
1285,262,1203,72,112
1286,259,1202,69,111
1287,253,1216,65,115
1288,260,1200,67,113
1289,259,1212,63,116
1290,271,1217,69,115
1291,276,1211,67,114
1292,275,1223,69,112
1293,275,1214,67,115
1294,277,1217,72,113
1295,270,1226,66,118
1296,268,1208,70,111
